Kolom 1,Kolom 2,Kolom 3,Kolom 4,Kolom 5,Kolom 6
Terdapat 5 baris,,,,,
Deskripsi Tabel nilai_transfer,,,,,
column_name,pk,type,not_null,desc,
id_ekuivalensi,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_reg_pd,,uuid,1,Web Service: GetRecordset:mahasiswa_pt,
id_mk,,uuid,1,Web Service: GetRecordset:mata_kuliah,
kode_mk_asal,,character varying(20),1,,
nm_mk_asal,,character varying(200),1,,
sks_asal,,"numeric(2,0)",1,,
sks_diakui,,"numeric(2,0)",1,,
nilai_huruf_asal,,character varying(3),1,,
nilai_huruf_diakui,,character varying(3),1,,
nilai_angka_diakui,,"numeric(5,2)",1,,
Terdapat 10 baris,,,,,
Deskripsi Tabel satuan_pendidikan,,,,,
column_name,pk,type,not_null,desc,
a_lptk,,"numeric(1,0)",1,,
a_mbs,,"numeric(1,0)",1,,
bujur,,"numeric(11,7)",,,
ds_kel,,character varying(60),1,,
email,,character varying(60),,,
flag,,character(1),,,
id_blob,,uuid,,,
id_bp,,smallint,1,,
id_kk,,integer,1,"Primary Key, kosongkan ketika mode Tambah",
id_pembina,,uuid,,,
,,,,,
id_sp,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_stat_milik,,"numeric(1,0)",1,,
id_wil,,character(8),1,"Primary Key, kosongkan ketika mode Tambah",
jln,,character varying(80),,Jalan,
kode_pos,,character(5),,,
kode_reg,,bigint,,,
lintang,,"numeric(11,7)",,,
luas_tanah_bukan_milik,,"numeric(7,0)",1,,
luas_tanah_milik,,"numeric(7,0)",1,,
nm_bank,,character varying(50),,,
nm_dsn,,character varying(60),,Nama Dusun,
nm_lemb,,character varying(100),1,,
nm_rek,,character varying(50),,,
nm_singkat,,character varying(20),,,
nm_wp,,character varying(100),,,
no_fax,,character varying(20),,,
no_rek,,character varying(20),,,
no_tel,,character varying(20),,,
npsn,,character(8),,,
npwp,,character(15),,Nomor Pokok Wajib Pajak,
nss,,character(12),,,
rt,,"numeric(2,0)",,,
rw,,"numeric(2,0)",,,
sk_izin_operasi,,character varying(80),,,
sk_pendirian_sp,,character varying(80),,,
stat_sp,,character(1),1,,
tgl_berdiri,,date,,yyyy-mm-dd,
tgl_sk_izin_operasi,,date,,yyyy-mm-dd,
tgl_sk_pendirian_sp,,date,,yyyy-mm-dd,
unit_cabang,,character varying(60),,,
website,,character varying(256),,,
Terdapat 41 baris,,,,,
Deskripsi Tabel sms,,,,,
column_name,pk,type,not_null,desc,
a_kependidikan,,"numeric(1,0)",,,
bujur,,"numeric(11,7)",,,
ds_kel,,character varying(60),1,,
email,,character varying(60),,,
fungsi_selain_prak,,character(1),,,
gelar_lulusan,,character varying(10),,,
id_blob,,uuid,,,
id_fungsi_lab,,character(1),1,Web Service: GetRecordset:fungsi_lab,
id_induk_sms,,uuid,,Web Service: GetRecordset:sms,
id_jenj_didik,,"numeric(2,0)",1,ID Jenjang Pendidikan. Web Service: GetRecordset:jenjang_pendidikan,
id_jns_sms,,"numeric(2,0)",1,Web Service: GetRecordset:jenis_sms,
id_jur,,character varying(25),1,ID Jurusan. Web Service: GetRecordset:jurusan,
id_kel_usaha,,character(8),1,Web Service: GetRecordset:kel_usaha,
,,,,,
id_sms,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_sp,,uuid,1,Satuan Pendidikan per Jurusan,
id_wil,,character(8),1,ID Wilayah. Web Service: GetRecordset:wilayah,
jln,,character varying(80),,Jalan,
jml_jam_penggunaan,,"numeric(5,1)",,,
jml_mhs_pengguna,,"numeric(6,0)",,,
jml_modul_prak_lain,,"numeric(4,0)",,,
jml_modul_prak_sendiri,,"numeric(4,0)",,,
jml_prodi_pengguna,,"numeric(3,0)",,,
kapasitas_prak_satu_shift,,"numeric(4,0)",,,
kode_pos,,character(5),,,
kode_prodi,,character varying(10),,,
kpst_pd,,"numeric(5,0)",,,
lintang,,"numeric(11,7)",,,
luas_lab,,"numeric(5,0)",,,
nm_dsn,,character varying(60),,Nama Dusun,
nm_lemb,,character varying(100),1,,
nm_prodi_english,,character varying(100),,,
no_fax,,character varying(20),,,
no_tel,,character varying(20),,,
penggunaan_lab,,character(1),,,
polesei_nilai,,character(1),,,
rt,,"numeric(2,0)",,,
rw,,"numeric(2,0)",,,
singkatan,,character varying(50),,,
sistem_ajar,,"numeric(1,0)",,,
sk_selenggara,,character varying(80),,,
sks_lulus,,"numeric(3,0)",,,
smt_mulai,,character(5),,,
stat_prodi,,character(1),,,
tgl_berdiri,,date,,yyyy-mm-dd,
tgl_sk_selenggara,,date,,yyyy-mm-dd,
tmt_sk_selenggara,,date,,yyyy-mm-dd,
tst_sk_selenggara,,date,,yyyy-mm-dd,
website,,character varying(256),,,
Terdapat 48 baris,,,,,
Deskripsi Tabel substansi_kuliah,,,,,
column_name,pk,type,not_null,desc,
id_jns_subst,,character(5),1,Jenis Substansi. Web Service: GetRecordset:jenis_subst,
id_sms,,uuid,1,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
id_subst,1,uuid,1,,
nm_subst,,character varying(50),1,,
sks_mk,,"numeric(5,2)",,,
sks_prak,,"numeric(5,2)",,,
sks_prak_lap,,"numeric(5,2)",,,
sks_sim,,"numeric(5,2)",,,
sks_tm,,"numeric(5,2)",,,
Terdapat 9 baris,,,,,
