Kolom 1,Kolom 2,Kolom 3,Kolom 4,Kolom 5,Kolom 6
Deskripsi Tabel jenjang_pendidikan,,,,,
column_name,pk,type,not_null,desc,
id_jenj_didik,1,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
nm_jenj_didik,,character varying(50),1,,
u_jenj_lemb,,"numeric(1,0)",1,,
u_jenj_org,,"numeric(1,0)",1,,
Terdapat 4 baris,,,,,
Deskripsi Tabel jurusan,,,,,
column_name,pk,type,not_null,desc,
id_induk_jurusan,,character varying(25),,,
id_jenj_didik,,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
id_jur,1,character varying(25),1,,
id_kel_bidang,,uuid,1,,
nm_intl_jur,,character varying(100),,,
nm_jur,,character varying(100),1,,
u_pt,,"numeric(1,0)",1,,
u_slb,,"numeric(1,0)",1,,
u_sma,,"numeric(1,0)",1,,
u_smk,,"numeric(1,0)",1,,
Terdapat 10 baris,,,,,
Deskripsi Tabel kebutuhan_khusus,,,,,
column_name,pk,type,not_null,desc,
id_kk,1,integer,1,"Primary Key, kosongkan ketika mode Tambah",
nm_kk,,character varying(50),1,,
a_kk_a,,"numeric(1,0)",1,,
a_kk_b,,"numeric(1,0)",1,,
a_kk_c,,"numeric(1,0)",1,,
a_kk_c1,,"numeric(1,0)",1,,
a_kk_d,,"numeric(1,0)",1,,
a_kk_d1,,"numeric(1,0)",1,,
a_kk_e,,"numeric(1,0)",1,,
a_kk_f,,"numeric(1,0)",1,,
a_kk_h,,"numeric(1,0)",1,,
a_kk_i,,"numeric(1,0)",1,,
a_kk_j,,"numeric(1,0)",1,,
a_kk_k,,"numeric(1,0)",1,,
a_kk_n,,"numeric(1,0)",1,,
a_kk_o,,"numeric(1,0)",1,,
a_kk_p,,"numeric(1,0)",1,,
a_kk_q,,"numeric(1,0)",1,,
u_lemb,,"numeric(1,0)",1,,
u_ptk,,"numeric(1,0)",1,,
u_pd,,"numeric(1,0)",1,,
Terdapat 21 baris,,,,,
Deskripsi Tabel lembaga_pengangkat,,,,,
column_name,pk,type,not_null,desc,
id_lemb_angkat,1,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
nm_lemb_angkat,,character varying(100),1,,
Terdapat 2 baris,,,,,
Deskripsi Tabel level_wilayah,,,,,
column_name,pk,type,not_null,desc,
id_level_wil,1,smallint,1,,
nm_level_wilayah,,character varying(50),,,
Terdapat 2 baris,,,,,
Deskripsi Tabel negara,,,,,
column_name,,,,,
id_negara,,,,,
nm_negara,,,,,
a_ln,,,,,
benua,,,,,
Terdapat 4 baris,,,,,
Deskripsi Tabel pangkat_golongan,,,,,
column_name,pk,type,not_null,desc,
id_pangkat_gol,1,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
kode_gol,,character varying(5),1,,
nm_pangkat,,character varying(50),1,,
Terdapat 3 baris,,,,,
Deskripsi Tabel pekerjaan,,,,,
column_name,pk,type,not_null,desc,
id_pekerjaan,1,integer,1,"Primary Key, kosongkan ketika mode Tambah",
nm_pekerjaan,,character varying(50),,,
Terdapat 2 baris,,,,,
Deskripsi Tabel penghasilan,,,,,
column_name,pk,type,not_null,desc,
id_penghasilan,1,integer,1,"Primary Key, kosongkan ketika mode Tambah",
nm_penghasilan,,character varying(50),1,,
batas_bawah,,integer,1,,
batas_atas,,integer,1,,
Terdapat 4 baris,,,,,
Deskripsi Tabel semester,,,,,
column_name,pk,type,not_null,desc,
id_smt,1,character(5),1,"Primary Key, kosongkan ketika mode Tambah",
id_thn_ajaran,,"numeric(4,0)",1,"Primary Key, kosongkan ketika mode Tambah",
nm_smt,,character varying(50),1,,
smt,,"numeric(1,0)",1,"1: Ganjil, 2: Genap",
a_periode_aktif,,"numeric(1,0)",1,,
tgl_mulai,,date,1,yyyy-mm-dd,
tgl_selesai,,date,1,yyyy-mm-dd,
Terdapat 7 baris,,,,,
Deskripsi Tabel status_keaktifan_pegawai,,,,,
column_name,pk,type,not_null,desc,
id_stat_aktif,1,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
nm_stat_aktif,,character varying(50),1,,
Terdapat 2 baris,,,,,
Deskripsi Tabel status_kepegawaian,,,,,
column_name,pk,type,not_null,desc,
id_stat_pegawai,1,smallint,1,"Primary Key, kosongkan ketika mode Tambah",
nm_stat_pegawai,,character varying(50),1,,
Terdapat 2 baris,,,,,
Deskripsi Tabel status_mahasiswa,,,,,
column_name,pk,type,not_null,desc,
id_stat_mhs,1,character(1),1,,
nm_stat_mhs,,character varying(50),1,,
ket_stat_mhs,,character varying(50),,,
Terdapat 3 baris,,,,,
Deskripsi Tabel tahun_ajaran,,,,,
column_name,pk,type,not_null,desc,
id_thn_ajaran,1,"numeric(4,0)",1,"Primary Key, kosongkan ketika mode Tambah",
nm_thn_ajaran,,character varying(50),1,,
a_periode_aktif,,"numeric(1,0)",1,,
tgl_mulai,,date,1,yyyy-mm-dd,
tgl_selesai,,date,1,yyyy-mm-dd,
Terdapat 5 baris,,,,,
Deskripsi Tabel wilayah,,,,,
column_name,pk,type,not_null,desc,
asal_wil,,character(8),,,
id_induk_wilayah,,character(8),,,
id_level_wil,,smallint,1,,
id_negara,,character(2),1,,
id_wil,1,character(8),1,"Primary Key, kosongkan ketika mode Tambah",
kode_bps,,character(7),,,
kode_dagri,,character(7),,,
kode_keu,,character varying(10),,,
nm_wil,,character varying(60),,,
Terdapat 9 baris,,,,,
Deskripsi Tabel ajar_dosen,,,,,
column_name,pk,type,not_null,desc,
